level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2014	1886	-1	
2	1	1	0	0	0	56	7	1949	1867	-1	
3	1	1	1	0	0	55	7	1950	1870	-1	
4	1	1	1	1	0	1932	24	73	1781	-1	
5	1	1	1	1	1	1944	24	13	13	0.000000	S
5	1	1	1	1	2	1958	81	2	3	0.000000	襄
5	1	1	1	1	3	1933	185	30	146	0.000000	品
5	1	1	1	1	4	1956	395	30	117	0.000000	人
5	1	1	1	1	5	1932	653	59	44	2.695236	品
5	1	1	1	1	6	1961	746	28	46	37.542412	ba
5	1	1	1	1	7	1971	853	5	4	24.319717	人
5	1	1	1	1	8	1954	1216	47	29	0.000000	寺
5	1	1	1	1	9	1975	1322	5	10	75.850418	1
5	1	1	1	1	10	1935	1383	70	71	42.556564	一
5	1	1	1	1	11	1939	1453	53	36	18.347969	和
5	1	1	1	1	12	1935	1488	70	84	15.408440	0
5	1	1	1	1	13	1941	1646	51	23	0.000000	蝦
5	1	1	1	1	14	1941	1741	21	64	35.125290	圖
4	1	1	1	2	0	1833	224	139	1524	-1	
5	1	1	1	2	1	1893	12	45	14	23.513535	|
5	1	1	1	2	2	1835	224	80	62	0.000000	際
5	1	1	1	2	3	1833	298	95	61	8.292885	昌
5	1	1	1	2	4	1835	372	128	112	8.229370	仙人
5	1	1	1	2	5	1836	534	127	36	14.207550	生
5	1	1	1	2	6	1837	635	128	62	0.000000	妥
5	1	1	1	2	7	1847	696	118	57	0.000000	人
5	1	1	1	2	8	1836	759	38	25	0.000000	和
5	1	1	1	2	9	1839	838	130	82	0.000000	廬
5	1	1	1	2	10	1842	919	121	72	36.601337	入
5	1	1	1	2	11	1855	1003	7	38	35.600693	一
5	1	1	1	2	12	1840	1071	131	61	44.531013	生
5	1	1	1	2	13	1841	1131	131	62	0.000000	襄
5	1	1	1	2	14	1842	1240	32	24	0.000000	計
5	1	1	1	2	15	1843	1263	122	163	19.385803	歸咎
5	1	1	1	2	16	1922	1434	2	8	23.971497	生
5	1	1	1	2	17	1847	1496	81	72	39.663643	人
5	1	1	1	2	18	1849	1567	85	181	3.579681	好友
5	1	1	1	2	19	1877	1770	46	84	38.594933	加
4	1	1	1	3	0	1747	210	99	1642	-1	
5	1	1	1	3	1	1788	210	44	95	0.000000	江
5	1	1	1	3	2	1747	305	99	69	0.000000	生
5	1	1	1	3	3	1774	373	52	52	34.373802	全
5	1	1	1	3	4	1787	447	44	47	0.000000	汪
5	1	1	1	3	5	1791	515	45	43	0.000000	全
5	1	1	1	3	6	1751	589	81	69	42.003609	一
5	1	1	1	3	7	1747	657	99	57	15.646202	其
5	1	1	1	3	8	1791	713	46	52	52.584129	急
5	1	1	1	3	9	1777	781	58	48	0.000000	划
5	1	1	1	3	10	1793	849	47	75	0.000000	捅
5	1	1	1	3	11	1795	923	47	50	0.000000	放
5	1	1	1	3	12	1793	991	7	68	0.000000	一
5	1	1	1	3	13	1780	1066	58	38	19.160263	位
5	1	1	1	3	14	1795	1121	46	54	0.000000	縱
5	1	1	1	3	15	1795	1193	48	119	34.515572	首
5	1	1	1	3	16	1755	1281	94	66	21.720512	商
5	1	1	1	3	17	1759	1326	84	85	0.000000	落
5	1	1	1	3	18	1755	1399	94	53	21.182114	.
5	1	1	1	3	19	1798	1437	44	55	0.000000	竟
5	1	1	1	3	20	1762	1502	84	183	0.000000	千
5	1	1	1	3	21	1758	1586	109	42	0.000000	合
5	1	1	1	3	22	1778	1709	53	42	15.417877	人
5	1	1	1	3	23	1833	1850	4	2	0.000000	一
4	1	1	1	4	0	1752	227	45	1598	-1	
5	1	1	1	4	1	1755	227	31	52	20.192093	品
5	1	1	1	4	2	1759	319	30	28	0.000000	二
5	1	1	1	4	3	1752	367	37	123	37.685719	26
5	1	1	1	4	4	1754	508	35	53	25.354454	二
5	1	1	1	4	5	1753	658	44	855	27.097572	和
4	1	1	1	5	0	1678	214	80	1650	-1	
5	1	1	1	5	1	1696	214	52	61	67.216705	jg
5	1	1	1	5	2	1707	328	43	47	0.000000	穎
5	1	1	1	5	3	1698	385	51	63	20.049324	宮
5	1	1	1	5	4	1696	508	56	238	8.052368	信條
5	1	1	1	5	5	1674	641	100	57	0.000000	介
5	1	1	1	5	6	1674	697	100	70	0.000000	廬
5	1	1	1	5	7	1710	767	41	68	14.415596	和
5	1	1	1	5	8	1698	846	58	52	0.000000	閃
5	1	1	1	5	9	1711	947	42	41	14.907539	全
5	1	1	1	5	10	1711	1010	21	54	13.455460	一
5	1	1	1	5	11	1700	1078	57	33	21.795914	生
5	1	1	1	5	12	1712	1128	42	63	10.029144	條
5	1	1	1	5	13	1714	1203	40	47	0.000000	晤
5	1	1	1	5	14	1713	1272	42	56	45.543343	中
5	1	1	1	5	15	1678	1347	79	151	0.000000	牛人
5	1	1	1	5	16	1680	1505	77	58	0.000000	生
5	1	1	1	5	17	1699	1585	59	122	15.996765	合劑
5	1	1	1	5	18	1731	1710	22	44	0.000000	玉
4	1	1	1	6	0	1494	216	93	1646	-1	
5	1	1	1	6	1	1504	216	42	86	38.870277	全
5	1	1	1	6	2	1502	303	48	47	12.142960	才
5	1	1	1	6	3	1500	377	45	45	13.296120	全
5	1	1	1	6	4	1504	447	47	54	25.163513	多
5	1	1	1	6	5	1507	518	29	49	0.000000	宮
5	1	1	1	6	6	1489	575	102	58	38.102310	-
5	1	1	1	6	7	1499	632	48	53	0.000000	昌
5	1	1	1	6	8	1504	698	44	53	0.000000	宮
5	1	1	1	6	9	1504	779	47	45	0.000000	便
5	1	1	1	6	10	1506	853	44	117	15.426933	及
5	1	1	1	6	11	1489	932	102	77	0.000000	宮
5	1	1	1	6	12	1546	1032	4	36	10.711960	一
5	1	1	1	6	13	1507	1079	44	29	11.119583	把
5	1	1	1	6	14	1494	1136	57	40	0.000000	補
5	1	1	1	6	15	1508	1200	43	56	12.515640	共
5	1	1	1	6	16	1507	1276	80	71	15.178833	生
5	1	1	1	6	17	1489	1346	102	65	0.000000	仙
5	1	1	1	6	18	1547	1410	7	35	31.277115	一
5	1	1	1	6	19	1498	1474	50	27	0.000000	尼
5	1	1	1	6	20	1496	1518	59	59	0.000000	旭
5	1	1	1	6	21	1498	1577	57	153	16.939804	光碟
5	1	1	1	6	22	1513	1850	19	12	51.688187	1
4	1	1	1	7	0	1418	223	91	1611	-1	
5	1	1	1	7	1	1448	223	48	125	31.873993	全
5	1	1	1	7	2	1432	291	72	41	0.000000	人
5	1	1	1	7	3	1432	331	72	64	0.000000	廊
5	1	1	1	7	4	1451	371	40	49	30.017555	長
5	1	1	1	7	5	1436	453	56	50	0.000000	崗
5	1	1	1	7	6	1452	506	47	167	0.000000	人
5	1	1	1	7	7	1432	633	72	63	0.000000	鋪
5	1	1	1	7	8	1460	699	34	48	0.000000	信
5	1	1	1	7	9	1447	772	49	85	87.762749	受
5	1	1	1	7	10	1418	864	78	42	0.000000	每
5	1	1	1	7	11	1442	929	29	51	1.283295	全
5	1	1	1	7	12	1439	1025	63	51	1.283295	一
5	1	1	1	7	13	1435	1075	79	45	0.000000	間
5	1	1	1	7	14	1439	1119	61	60	0.000000	多
5	1	1	1	7	15	1441	1191	61	125	26.003891	和
5	1	1	1	7	16	1447	1331	62	56	32.478722	一
5	1	1	1	7	17	1450	1465	57	50	43.405384	和
5	1	1	1	7	18	1475	1541	15	93	18.968887	明和
5	1	1	1	7	19	1445	1637	52	57	0.000000	肝
